p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year,plyr_number
sammartin_buf_2022_8,buf_2022_8,sammartin_buf_2022,buf_2022,sammartin,7947,p,buf,1,2,2,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
rileydixon_lar_2022_8,lar_2022_8,rileydixon_lar_2022,lar_2022,rileydixon,10862,p,lar,1,5,5,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ryanwright_min_2022_8,min_2022_8,ryanwright_min_2022,min_2022,ryanwright,77591,p,min,1,10,10,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
arrynsiposs_phi_2022_8,phi_2022_8,arrynsiposs_phi_2022,phi_2022,arrynsiposs,82019,p,phi,1,4,4,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
andylee_ari_2022_8,ari_2022_8,andylee_ari_2022,ari_2022,andylee,1906,p,ari,1,4,4,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
kevinhuber_cin_2022_8,cin_2022_8,kevinhuber_cin_2022,cin_2022,kevinhuber,5066,p,cin,1,2,2,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
thomasmorstead_mia_2022_8,mia_2022_8,thomasmorstead_mia_2022,mia_2022,thomasmorstead,5088,p,mia,1,6,6,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bryananger_dal_2022_8,dal_2022_8,bryananger_dal_2022,dal_2022,bryananger,7072,p,dal,1,5,5,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
johnnyhekker_car_2022_8,car_2022_8,johnnyhekker_car_2022,car_2022,johnnyhekker,7252,p,car,1,7,7,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tressway_was_2022_8,was_2022_8,tressway_was_2022,was_2022,tressway,8358,p,was,1,4,4,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
patodonnell_gb_2022_8,gb_2022_8,patodonnell_gb_2022,gb_2022,patodonnell,8826,p,gb,1,5,5,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bradleypinion_atl_2022_8,atl_2022_8,bradleypinion_atl_2022,atl_2022,bradleypinion,9598,p,atl,1,6,6,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
matthaack_ind_2022_8,ind_2022_8,matthaack_ind_2022,ind_2022,matthaack,12212,p,ind,1,5,5,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
cameronjohnston_hou_2022_8,hou_2022_8,cameronjohnston_hou_2022,hou_2022,cameronjohnston,12255,p,hou,1,1,1,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
coreybojorquez_cle_2022_8,cle_2022_8,coreybojorquez_cle_2022,cle_2022,coreybojorquez,27626,p,cle,1,3,3,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
logancooke_jax_2022_8,jax_2022_8,logancooke_jax_2022,jax_2022,logancooke,29214,p,jax,1,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
tommytownsend_kc_2022_8,kc_2022_8,tommytownsend_kc_2022,kc_2022,tommytownsend,33007,p,kc,1,1,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jakebailey_ne_2022_8,ne_2022_8,jakebailey_ne_2022,ne_2022,jakebailey,33963,p,ne,1,4,4,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jackfox_det_2022_8,det_2022_8,jackfox_det_2022,det_2022,jackfox,34735,p,det,1,3,3,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
michaeldickson_sea_2022_8,sea_2022_8,michaeldickson_sea_2022,sea_2022,michaeldickson,35381,p,sea,1,1,1,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ajcoleiii_lv_2022_8,lv_2022_8,ajcoleiii_lv_2022,lv_2022,ajcoleiii,36038,p,lv,1,2,2,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jkscott_lac_2022_8,lac_2022_8,jkscott_lac_2022,lac_2022,jkscott,38809,p,lac,1,5,5,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
corlisswaitman_den_2022_8,den_2022_8,corlisswaitman_den_2022,den_2022,corlisswaitman,39620,p,den,1,6,6,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
mitchwishnowsky_sf_2022_8,sf_2022_8,mitchwishnowsky_sf_2022,sf_2022,mitchwishnowsky,44663,p,sf,1,1,1,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
bradenmann_nyj_2022_8,nyj_2022_8,bradenmann_nyj_2022,nyj_2022,bradenmann,44664,p,nyj,1,8,8,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
blakegillikin_no_2022_8,no_2022_8,blakegillikin_no_2022,no_2022,blakegillikin,45045,p,no,1,2,2,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
ryanstonehouse_ten_2022_8,ten_2022_8,ryanstonehouse_ten_2022,ten_2022,ryanstonehouse,52045,p,ten,1,3,3,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jordanstout_bal_2022_8,bal_2022_8,jordanstout_bal_2022,bal_2022,jordanstout,57649,p,bal,1,3,3,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
trentongill_chi_2022_8,chi_2022_8,trentongill_chi_2022,chi_2022,trentongill,60295,p,chi,1,2,2,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
pressleyharviniii_pit_2022_8,pit_2022_8,pressleyharviniii_pit_2022,pit_2022,pressleyharviniii,62973,p,pit,1,6,6,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jamiegillan_nyg_2022_8,nyg_2022_8,jamiegillan_nyg_2022,nyg_2022,jamiegillan,63303,p,nyg,1,2,2,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
jakecamarda_tb_2022_8,tb_2022_8,jakecamarda_tb_2022,tb_2022,jakecamarda,82636,p,tb,1,6,6,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2022,8
